ligne;P_sim_tot;P_real_tot
1;180.162;179.18
2;180.721;179.5
3;180.061;179.12
4;180.672;179.51
5;178.929;178.31
6;179.653;178.73
7;180.446;179.25
8;178.621;178.05
9;177.033;176.71
10;177.186;176.71
11;177.772;177.16
12;177.429;176.93
13;178.328;177.62
14;177.377;176.94
15;178.038;177.39
16;177.987;177.39
17;176.519;176.24
18;178.115;177.4
19;176.222;176.55
20;177.263;176.72
21;177.186;176.72
22;176.298;176.51
23;173.601;174.7
24;175.098;175.71
25;176.203;176.41
26;175.501;176.08
27;174.947;175.77
28;174.434;175.24
29;174.131;175.03
30;174.815;175.55
31;173.536;174.47
32;176.377;176.48
33;176.149;176.48
34;176.447;176.64
35;176.123;176.48
36;175.849;176.39
37;176.221;176.43
38;176.4;176.69
39;176.17;176.49
40;176.447;176.64
41;174.308;175.36
42;195.355;198.09
43;192.93;202.57
44;192.985;202.82
45;192.875;203.23
46;192.93;202.51
47;192.93;202.87
48;181.722;181.62
49;176.645;176.83
50;176.345;176.66
