ligne;id_turbine;P_sim;P_real
1;1;45.507;45.76
1;2;44.181;44.18
1;3;0;0
1;4;44.8408;44.84
1;5;44.3687;44.4
2;1;45.9068;46.16
2;2;44.2089;44.16
2;3;0;0
2;4;44.8711;44.81
2;5;44.3956;44.37
3;1;45.5119;45.75
3;2;44.2043;44.17
3;3;0;0
3;4;44.862;44.82
3;5;44.3857;44.38
4;1;45.8849;46.17
4;2;44.19;44.16
4;3;0;0
4;4;44.8488;44.81
4;5;44.375;44.37
5;1;44.6702;44.85
5;2;44.166;44.2
5;3;0;0
5;4;44.8219;44.85
5;5;44.3508;44.41
6;1;45.1405;45.3
6;2;44.2111;44.19
6;3;0;0
6;4;44.8756;44.84
6;5;44.4005;44.4
7;1;45.7506;45.94
7;2;44.2528;44.15
7;3;0;0
7;4;44.9171;44.8
7;5;44.4357;44.36
8;1;44.4849;44.6
8;2;44.2128;44.19
8;3;0;0
8;4;44.8694;44.85
8;5;44.3914;44.41
9;1;43.0893;43.14
9;2;44.1942;44.23
9;3;0;0
9;4;44.8562;44.89
9;5;44.3828;44.45
10;1;43.165;43.14
10;2;44.2699;44.23
10;3;0;0
10;4;44.9429;44.89
10;5;44.4613;44.45
11;1;43.6503;43.64
11;2;44.2719;44.22
11;3;0;0
11;4;44.9445;44.87
11;5;44.4625;44.43
12;1;43.4127;43.39
12;2;44.2805;44.22
12;3;0;0
12;4;44.9512;44.88
12;5;44.4675;44.44
13;1;44.0702;44.13
13;2;44.2166;44.21
13;3;0;0
13;4;44.8849;44.86
13;5;44.4101;44.42
14;1;43.3839;43.39
14;2;44.2487;44.23
14;3;0;0
14;4;44.9163;44.88
14;5;44.4364;44.44
15;1;43.8801;43.88
15;2;44.2679;44.21
15;3;0;0
15;4;44.9391;44.87
15;5;44.4574;44.43
16;1;43.8659;43.88
16;2;44.2562;44.21
16;3;0;0
16;4;44.9246;44.87
16;5;44.4438;44.43
17;1;42.9119;42.9
17;2;44.2732;44.25
17;3;0;0
17;4;44.6087;44.63
17;5;44.4594;44.46
18;1;43.8828;43.89
18;2;44.263;44.21
18;3;0;0
18;4;44.9369;44.87
18;5;44.4566;44.43
19;1;0;0
19;2;44.2167;44.25
19;3;42.6914;42.51
19;4;45.2125;45.13
19;5;44.6951;44.66
20;1;43.1744;43.15
20;2;44.274;44.23
20;3;0;0
20;4;44.9505;44.89
20;5;44.4691;44.45
21;1;43.1532;43.15
21;2;44.2564;44.23
21;3;0;0
21;4;44.9283;44.89
21;5;44.4484;44.45
22;1;0;0
22;2;44.2506;44.24
22;3;42.7255;42.5
22;4;45.2515;45.12
22;5;44.7302;44.65
23;1;0;0
23;2;43.9732;44.02
23;3;41.3592;41.45
23;4;44.63;44.7
23;5;44.4801;44.53
24;1;0;0
24;2;44.3278;44.28
24;3;41.9754;41.97
24;4;45.0169;44.95
24;5;44.5299;44.51
25;1;0;0
25;2;44.3206;44.26
25;3;42.5238;42.34
25;4;45.3345;45.14
25;5;44.8051;44.67
26;1;0;0
26;2;44.2807;44.27
26;3;42.2049;42.17
26;4;45.2876;45.15
26;5;44.4759;44.49
27;1;0;0
27;2;44.2953;44.3
27;3;41.9396;41.99
27;4;44.9759;44.96
27;5;44.4922;44.52
28;1;0;0
28;2;44.2902;44.3
28;3;41.6554;41.73
28;4;44.6398;44.69
28;5;44.4929;44.52
29;1;0;0
29;2;44.0389;44.03
29;3;41.7134;41.75
29;4;44.7087;44.71
29;5;44.5526;44.54
30;1;0;0
30;2;44.329;44.31
30;3;41.6928;41.74
30;4;45.0189;44.97
30;5;44.5319;44.53
31;1;0;0
31;2;43.9904;44.04
31;3;41.384;41.47
31;4;44.6584;44.72
31;5;44.2185;44.24
32;1;0;0
32;2;44.3337;44.28
32;3;42.5457;42.36
32;4;45.3576;45.15
32;5;44.8271;44.69
33;1;0;0
33;2;44.3103;44.28
33;3;42.5119;42.36
33;4;45.3212;45.15
33;5;44.7929;44.69
34;1;0;0
34;2;44.278;44.27
34;3;42.758;42.53
34;4;45.287;45.15
34;5;44.763;44.69
35;1;0;0
35;2;44.3152;44.28
35;3;42.5149;42.36
35;4;45.3251;45.15
35;5;44.796;44.69
36;1;0;0
36;2;44.2573;44.3
36;3;42.1864;42.19
36;4;45.2653;45.18
36;5;44.7441;44.72
37;1;0;0
37;2;44.3208;44.26
37;3;42.5256;42.35
37;4;45.3362;45.14
37;5;44.8069;44.68
38;1;0;0
38;2;44.2539;44.28
38;3;42.7342;42.55
38;4;45.2597;45.16
38;5;44.7387;44.7
39;1;0;0
39;2;44.2827;44.28
39;3;42.489;42.36
39;4;45.2937;45.16
39;5;44.7693;44.69
40;1;0;0
40;2;44.2818;44.27
40;3;42.7621;42.53
40;4;45.2917;45.15
40;5;44.7672;44.69
41;1;0;0
41;2;44.326;44.33
41;3;41.6821;41.76
41;4;44.6728;44.72
41;5;44.519;44.55
42;1;40.5572;40.42
42;2;37.9181;37.07
42;3;40.8249;40.2
42;4;37.913;37.12
42;5;43.9494;43.28
43;1;39.9831;40.39
43;2;35.3421;35.1
43;3;40.5539;40.52
43;4;43.347;43.32
43;5;43.2937;43.24
44;1;39.9266;40.37
44;2;35.6877;35.46
44;3;40.4984;40.49
44;4;43.2826;43.29
44;5;43.2252;43.21
45;1;39.8863;40.37
45;2;36.045;35.85
45;3;40.4587;40.5
45;4;43.2359;43.29
45;5;43.1781;43.22
46;1;39.9326;40.38
46;2;35.2932;35.09
46;3;40.5047;40.51
46;4;43.2913;43.3
46;5;43.2283;43.23
47;1;39.9101;40.38
47;2;35.6694;35.47
47;3;40.4821;40.5
47;4;43.2636;43.3
47;5;43.2055;43.22
48;1;43.684;44.27
48;2;48.3775;48.27
48;3;0;0
48;4;44.2959;44.76
48;5;43.8227;44.32
49;1;42.9999;43.17
49;2;44.1212;44.26
49;3;0;0
49;4;44.7648;44.92
49;5;44.2953;44.48
50;1;0;0
50;2;44.2705;44.28
